Cachesize (MiB),Cache Ratio,Value Size (Bytes),Read Policy,Workload,Similarity (Union),Similarity (Intersection),Cluster Miss Rate,Normalized Cluster Miss Rate
40.64881292978922,0.33491333333333334,1024,hash,uniform-a,0.728054023926588,0.6209367597587435,1.1087304,0.4426781633931527
40.70578861236572,0.33532,1024,hash,uniform-b,0.2713974710724084,0.2083084814505547,0.44139478260869563,0.17623385423231588
41.26127529144287,0.32622,1024,hash,uniform-d,0.20199558580099325,0.16537919195634848,0.41485272727272726,0.1656365184789119
40.67662652333578,0.3351866666666667,1024,hash,uniform-f,0.7303542304785393,0.6266955726162536,1.1074768,0.4421776437486749
40.71037896474203,0.33670666666666665,1024,hash,uniform-read,0.08626202827386842,0.0026432503068942307,0.196276,0.0783663000474727
40.65797519683838,0.33508,1024,hash,uniform-update,0.882222155903068,0.7701444431180614,1.2489295,0.4986548734187576
40.655457496643066,0.33502000000000004,1024,hash,zipfian-a,0.742164646886753,0.6369171989731957,0.9376824,0.3743845417047134
40.698682149251304,0.33555666666666667,1024,hash,zipfian-b,0.3027655537564446,0.2269661358737223,0.35969391304347825,0.14361348873430665
41.253424962361656,0.32615666666666665,1024,hash,zipfian-d,0.2729056588347114,0.21593917033736343,0.3516127272727273,0.14038694739022978
40.657178243001304,0.33497333333333335,1024,hash,zipfian-f,0.7439398161047646,0.6376626995183696,0.9376296,0.3743634604688898
40.72766145070394,0.33634000000000003,1024,hash,zipfian-read,0.1419099720520901,0.007551882024142237,0.169242,0.06757254759947409
40.69115447998047,0.33519000000000004,1024,random,uniform-a,0.7391777797666995,0.6131149497300039,1.134344,0.45290479865623096
40.73022270202637,0.33579000000000003,1024,random,uniform-b,0.48688168200363324,0.20116739628934752,0.7681947826086957,0.30671392747363974
41.29073111216227,0.32606666666666667,1024,random,uniform-d,0.4493559599263954,0.17996319771007974,0.7631654545454546,0.3047058886301687
40.65374151865641,0.33515333333333336,1024,random,uniform-f,0.7400493306546259,0.6117498458417042,1.1316952,0.4518472233257486
40.73040294647217,0.33660666666666667,1024,random,uniform-read,0.4473767602146917,0.11283198985957894,0.666398,0.2660699505748829
40.65915616353353,0.3349866666666667,1024,random,uniform-update,0.8810947699410923,0.7696724247731254,1.249018,0.49869020844471185
40.610382397969566,0.33474,1024,random,zipfian-a,0.7550188205771644,0.6295034952500448,0.9533736,0.3806495016962809
40.73491827646891,0.3357733333333333,1024,random,zipfian-b,0.5221528412023985,0.2536532581503395,0.55396,0.22117729918226367
41.25093205769857,0.3261633333333333,1024,random,zipfian-d,0.4720947582499566,0.24487731095872212,0.5475472727272728,0.2186169163052071
40.64307149251302,0.33532,1024,random,zipfian-f,0.7536234045091257,0.6282655373971132,0.9537176,0.3807868491417981
40.707387606302895,0.33676666666666666,1024,random,zipfian-read,0.4793972087498763,0.16593091161041276,0.44618,0.17814442802574626
138.95465151468912,0.33252333333333334,4096,hash,uniform-a,0.7285654139559128,0.6249185520815581,2.2267416,0.8890618331012934
139.0570878982544,0.33248,4096,hash,uniform-b,0.2662265399422522,0.20593719923002887,0.8841686956521739,0.35301834812234223
139.34037907918295,0.32903,4096,hash,uniform-d,0.20356806370239794,0.16755311065860257,0.82108,0.3278291876896762
138.99731286366782,0.33254,4096,hash,uniform-f,0.7284236482829133,0.6251578757442714,2.2224648,0.8873542529995844
139.12788105010986,0.3336033333333333,4096,hash,uniform-read,0.07813171331221702,0.0023980575733655736,0.397816,0.1588343354240223
138.9879264831543,0.33193,4096,hash,uniform-update,0.8822342060072907,0.7718193595035098,2.503534,0.9995755804227188
138.92170842488608,0.33243666666666666,4096,hash,zipfian-a,0.7449689665199386,0.6415056501990355,1.8833928,0.751974389492601
139.04035727183023,0.33301,4096,hash,zipfian-b,0.29954055433770765,0.22801117083571065,0.7201947826086956,0.2875491676340328
139.33314832051596,0.32887333333333335,4096,hash,zipfian-d,0.27253653889035284,0.21634469197867465,0.6977727272727273,0.2785968071001951
138.9365841547648,0.33260666666666666,4096,hash,zipfian-f,0.744212382994929,0.6403659978753683,1.883404,0.751978861269897
139.16298834482828,0.33287,4096,hash,zipfian-read,0.13194340132784577,0.008351608736143238,0.340964,0.13613527445732787
138.88937600453696,0.33249,4096,random,uniform-a,0.7433306264850071,0.6193870492345634,2.2726392,0.9073871764599255
139.06410439809164,0.33282666666666666,4096,random,uniform-b,0.48705532409262076,0.2035894559730791,1.5361078260869565,0.6133153661395252
139.34466234842935,0.32910666666666666,4096,random,uniform-d,0.4537282745209254,0.1812178422395981,1.5204145454545455,0.6070495754225312
138.9705375035604,0.33282666666666666,4096,random,uniform-f,0.7423984456373687,0.616477045108565,2.271768,0.9070393360688366
139.13738695780435,0.33349,4096,random,uniform-read,0.4471048607154637,0.11241716393295151,1.340824,0.5353452072329401
138.9477341969808,0.33244333333333337,4096,random,uniform-update,0.8829625099014368,0.7732746432976045,2.504597,1.0
138.8557643890381,0.33324333333333334,4096,random,zipfian-a,0.7552439158572815,0.6321506806837845,1.9107808,0.7629094820444167
139.0523328781128,0.3330633333333333,4096,random,zipfian-b,0.5170938460152723,0.2504928992483912,1.1146852173913044,0.4450557185013415
139.29033946990967,0.3293833333333333,4096,random,zipfian-d,0.4761928856954915,0.2510752416131154,1.095069090909091,0.4372236694801962
138.94688924153647,0.33253,4096,random,zipfian-f,0.7534357802303552,0.6308603735001354,1.9045024,0.7604027314573961
139.1942049662272,0.33243,4096,random,zipfian-read,0.4744307072165569,0.16210931624702946,0.89973,0.3592314452185322
